firma,sektor,obor,role,kontakt,stitky,scan,scan2,zverejnit
SUSPA CZ s.r.o,Automotive,"výrobní společnost působící v oblasti automotive, specializovaná na výrobu plynových pružin a tlumicích systémů pro automobilový a strojírenský průmysl.",Vývojový inženýr,"Lenka Švihlová, HR Manager",Použitelné podklady; Reporting; Kandidáti mimo aktivní trh,full-01.jpg,,ano
"Meleghy Automotive Czech, s.r.o",Automotive,"výrobní společnost působící v automobilovém průmyslu, zaměřená na vývoj a výrobu kovových konstrukčních dílů a svařovaných sestav pro přední světové výrobce automobilů (OEM).",odborných pozic v technických a výrobních oblastech,,Přesnost profilů; Použitelné podklady; Reporting,full-02.jpg,,ano
WINDMOLLER & HÓLSCHER Machinery k.s,Průmyslová výroba,"Společnost je součástí německé skupiny Windměller 8 Hélscher SE & Co. KG, jednoho z nejvýznamnějších světových výrobců zařízení pro extruzi, tisk a zpracování obalových fólií.",,,Přesnost profilů; Použitelné podklady; Rychlost,full-03.jpg,,ano
ALSTOM Czech Republic a.s,Železniční průmysl,"výrobní závod v České Lípě se stoletou tradicí, zaměřený na výrobu komponentů pro kolejová vozidla (vlaky, tramvaje, metro). Součást globální skupiny Alstom v oblasti železniční mobility.",odborných pozic v oblasti Procurementu ➢ Spokojenost s profesionalistou poskytovaných služeb (okomentujte prosím): Velmi pozitivní zkušenost se službou .. v posledních letech několik kandidátů přes Sintera do mého útvaru Nákupu ➢ Spokojenost s poskytnutými podklady (CV +resumé kandidátů) (okomentujte prosím): Velmi detailně zpracováno vč poznámek od Sintera ohledně profilů kandidátů ➢ Kvalita prez,,Přesnost profilů; Použitelné podklady; Pochopení zadání,full-04.jpg,,ano
"Synthon, s.r.o",Farmacie a zdravotnictví,Lídr v oblasti vývoje a výroby komplexních generických léčiv.,EHS Engineer,,Přesnost profilů; Použitelné podklady; Pochopení zadání,full-05.jpg,,ano
JTEKT Czech Republic s.r.o,Automotive,"Výroba komponentů do převodovek a systémů řízení osobních automobilů | Kontaktní osoba: Daniela Žižková, Team Leader Human Resources, tel: +420 776 404 340",HSE Specialist / Manager,"Daniela Žižková, Team Leader Human Resources",Přesnost profilů; Použitelné podklady; Pochopení zadání,full-06.jpg,,ano
SUSPA CZ s.r.o,Logistika a doprava,"dopravní prostředky a užitková vozidla, průmyslová výroba",Technická příprava výroby AV + Lean Manager,,Použitelné podklady; Reporting; Kandidáti mimo aktivní trh,full-07.jpg,,ano
"EXPLOSIA, a.s",Chemie a vlákna,Výrobní a obchodní společnost zaměřující se na výrobu a vývoj výbušnin a služeb spojených s aplikací energetických materiálů pro civilní i vojenské použití,Personalista,,Přesnost profilů; Použitelné podklady; Rychlost,full-08.jpg,,ano
"Výzkumný Ústav Železniční, a.s",Železniční průmysl,"Komplexní řešení v oblasti posuzování, certifikace a zkušebnictví se zaměřením na železniční vozidla, železniční systémy, drážní dopravu a další průmyslová odvětví.","Manažerské pozice, odborní specialisté",,Přesnost profilů; Použitelné podklady; Rychlost,full-09.jpg,,ano
JTEKT COLUMN SYSTEMS Czech s.r.o,Automotive,Výroba sloupků řízení do osobních a nákladních automobilů,"Manažerské pozice, specialisté napříč odděleními, THP pozice, výroba",,Přesnost profilů; Použitelné podklady; Rychlost,full-10.jpg,,ano
ASEKOL a.s,Elektrotechnika a kabely,"Specializace na sběr a recyklaci elektrozařízení a baterií,","Manažerské pozice, specialisté napříč odděleními, THP pozice, výroba",,Použitelné podklady; Reporting; Kandidáti mimo aktivní trh,full-11.jpg,,ano
