firma,role,citace_kratka,text_web,stitky,logo_slug,zverejnit,souhlas
ZF Passive Safety,Manažeři a inženýři kvality,99 % nabídnutých kandidátů míří rovnou na pohovor.,"U kvalitářských rolí v automotive se podařilo nastavit spolupráci tak, aby do výběru přicházeli kandidáti odpovídající požadavkům. Odpadá třídění nerelevantních životopisů a 99 % nabídnutých kandidátů míří rovnou na pohovor. Většina pozic se obsazuje právě přes Sinteru.",Přesnost profilů; Použitelné podklady; Dlouhodobá spolupráce,zf,ano,ne
SITEL,"Technik datového centra, technik zásahů, stavbyvedoucí","Přišli i uchazeči, kteří na trhu působili jako nedostupní.","Písemná prezentace kandidátů působí komplexně, přehledně a nezavádějícím způsobem. Uchazeči odpovídají konkrétním potřebám firmy, odbornosti i rozpočtu. Během krátké doby se podařilo otevřít i lidi, kteří na trhu působili jako nedostupní.",Kandidáti mimo aktivní trh; Kontext; Rychlost,sitel,ano,ne
ALSTOM,Odborné pozice v nákupu,Ani jeden představený kandidát nemířil mimo rozsah hledané role.,Sintera dodává do nákupního útvaru přesně zacílené kandidáty. Žádný z nich nemíří mimo rozsah hledané role. Podklady přinášejí detailní poznámky k profilům a komunikace pomáhá přesněji pojmenovat očekávání k obsazované pozici.,Přesnost profilů; Použitelné podklady; Pochopení zadání,alstom,ano,ne
Windmöller & Hölscher,Manažerské a odborné technické pozice,Podklady obsahují komentář Sintery i mzdová očekávání kandidáta.,"Komunikace v průběhu spolupráce probíhá efektivně a přínosně. Podklady ke kandidátům obsahují komentář Sintery, relevantní informace k pozici i člověku a také mzdová očekávání. Díky tomu nejde jen o samotné CV, ale o kontext pro rozhodnutí.",Použitelné podklady; Pochopení zadání; Reporting,,ano,ne
JTEKT Czech Republic,Odborné a technické pozice,Do dalších kol se často posune několik kandidátů.,"Profily kandidátů mají jasnou strukturu, přehledné informace a obsahují to podstatné pro rozhodování. Kandidáti odpovídají požadavkům pozice a často se do dalších kol posune hned několik z nich.",Přesnost profilů; Použitelné podklady; Pochopení zadání,jtekt,ano,ne
Nestlé Česko,"Produktový a procesní specialista, bezpečnostní technik",Profily odpovídaly velmi přesně odsouhlasenému zadání.,Profily velmi přesně odpovídají odsouhlasenému zadání. Rychlá komunikace s kandidáty pomáhá posouvat výběr bez zbytečných prodlev. Po několika pohovorech se podařilo vybrat kandidáta na produktovou a procesní roli.,Přesnost profilů; Rychlost; Pochopení zadání,nestle,ano,ne
Aisan Industry,Specialista údržby forem,"Výběrové řízení skončilo dřív, než se původně čekalo.","Tým pracuje profesionálně a jasně strukturovaně, což omezuje prostoje vznikající z nejasného zadání. I u velmi specifické pozice splnila většina kandidátů požadavky a výběrové řízení skončilo dřív, než se původně čekalo.",Pochopení zadání; Přesnost profilů; Rychlost,aisan,ano,ne
Siemens Energy,Tax Specialist,Poznámky ke kandidátům se využily přímo při pohovorech.,Komunikace běží rychle a příjemně. Poznámky připojené k životopisům mají dostatečný rozsah a využívají se přímo při pohovorech. Ze čtyř kandidátů postoupili dva do druhého kola a oba dosáhli úrovně nabídky.,Použitelné podklady; Reporting; Přesnost profilů,siemens-energy,ano,ne
TRW Carr,Inženýři kvality a elektro role,Konzultanti se doptávají do detailů skutečného obsahu role.,"Konzultanti jdou po podstatě pozice. Doptávají se na to, co bude člověk dělat, do jakého týmu nastoupí a jak se zadání mění v průběhu hledání. Díky tomu se search neopírá jen o název role, ale o skutečný kontext práce.",Pochopení zadání; Přesnost profilů; Reporting,trw,ano,ne
ZF Electronics Klášterec,"SMT, engineering, HR a technické pozice",Stabilní tým konzultantů drží znalost firmy i oboru.,"Sintera drží stabilní tým konzultantů, který zná firmu i automotive prostředí. Kandidáti procházejí důkladným screeningem a profily zvýrazňují klíčové profesní dovednosti očekávané u dané pozice.",Pochopení zadání; Použitelné podklady; Dlouhodobá spolupráce,zf,ano,ne
R+S Automotive,Lean specialista,Resumé obsahuje vše podstatné pro rozhodnutí.,Dlouhodobá spolupráce pomáhá dobře znát firmu a vybírat vhodné uchazeče. Resumé k jednotlivým lidem obsahuje vše podstatné pro rozhodnutí a funguje jako praktický podklad pro výběr.,Použitelné podklady; Přesnost profilů; Dlouhodobá spolupráce,rs-automotive,ano,ne
