client_display_name,legal_entity_name_if_known,domain,logo_source_url,source_type,original_file,svg_file,png_file,webp_file,mono_light_file,mono_dark_file,confidence_score,permission_status,brand_notes,needs_manual_review,recommended_for_homepage,recommended_for_reference_page
Siemens Energy,Siemens Energy s.r.o.,siemens-energy.com,https://commons.wikimedia.org/wiki/File:Siemens_Energy_logo.svg,wikimedia,raw/siemens-energy.svg,web/siemens-energy.svg,web/siemens-energy.png,web/siemens-energy.webp,processed/mono-light/siemens-energy-mono-light.svg,processed/mono-dark/siemens-energy-mono-dark.svg,high,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Correct current Siemens Energy two-tone wordmark adopted after the 2020 spin-off from Siemens AG: ""SIEMENS"" in petrol/teal (#009999) over ""energy"" in purple (#641e8c). This is the brand mark requested in the brief, NOT the Siemens AG sans-serif logo. Clean … | Jméno + reference už zveřejněny na sintera.cz/reference",no,yes,yes
Panasonic,Panasonic Automotive Systems Czech s.r.o.,panasonic.com,https://commons.wikimedia.org/wiki/File:Panasonic_logo_(Blue).svg,wikimedia,raw/panasonic.svg,web/panasonic.svg,web/panasonic.png,web/panasonic.webp,processed/mono-light/panasonic-mono-light.svg,processed/mono-dark/panasonic-mono-dark.svg,high,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Current blue ""Panasonic"" wordmark (corporate logo since 2008 rebrand from Matsushita). Single uniform fill #0056A8 (Panasonic Blue) across all 13 glyph paths. Clean vector SVG, 504x80 viewBox, sharp on dark navy strip and light reference page alike. Local q… | Jméno + reference už zveřejněny na sintera.cz/reference",no,yes,yes
ZF,ZF Passive Safety Czech s.r.o.,zf.com,https://commons.wikimedia.org/wiki/File:ZF_logo_STD_Blue_3CC.svg,wikimedia,raw/zf.svg,web/zf.svg,web/zf.png,web/zf.webp,processed/mono-light/zf-mono-light.svg,processed/mono-dark/zf-mono-dark.svg,medium,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Blue circular ""ZF"" roundel — the current/standard ZF corporate mark (parent: ZF Friedrichshafen AG). Chosen file ""ZF logo STD Blue 3CC.svg"" is a single-path vector on TRANSPARENT background with fill #0057B7 (ZF standard brand blue), which structurally matc… | ZPRACOVÁNÍ: Ověřit aktuálnost verze (verifikace upozornila na možnou starší variantu). Modrý roundel ZF; oficiální EPS je i v interních podkladech Sintery (ANALYTIKA/ZF Klášterec). | Jméno + reference už zveřejněny na sintera.cz/reference",yes,yes,yes
Nestlé,Nestlé Česko s.r.o.,nestle.com,https://commons.wikimedia.org/wiki/File:Nestl%C3%A9_textlogo.svg,wikimedia,raw/nestle.svg,web/nestle.svg,web/nestle.png,web/nestle.webp,processed/mono-light/nestle-mono-light.svg,processed/mono-dark/nestle-mono-dark.svg,high,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Clean wordmark-only ""Nestlé"" SVG (the brief's preferred form for a logo strip), sourced from Wikimedia Commons file ""Nestlé textlogo.svg"" (nominal 300×82, single vector path, fill #939ca1 grey). This is the current official Nestlé wordmark and matches the w… | ZPRACOVÁNÍ: Použit čistý wordmark „Nestlé"" (bez ptačího hnízda) — vhodnější pro logo strip",yes,yes,yes
Safran Cabin,Safran Cabin CZ s.r.o.,safran-group.com,https://commons.wikimedia.org/wiki/File:Safran_2016_logo.svg,wikimedia,raw/safran-cabin.svg,web/safran-cabin.svg,web/safran-cabin.png,web/safran-cabin.webp,processed/mono-light/safran-cabin-mono-light.svg,processed/mono-dark/safran-cabin-mono-dark.svg,high,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Used the CURRENT Safran group logo (3D blue gradient swirl ""S"" inside an open circular ring + grey ""SAFRAN"" wordmark), exactly matching the internal Sintera reference (/tmp/sintera_logos/internal/safran.png). This is the correct mark for Safran Cabin, which… | Jméno + reference už zveřejněny na sintera.cz/reference",no,yes,yes
Alstom,"Alstom (CZ site, former Bombardier Transportation, Česká Lípa); parent Alstom SA",alstom.com,https://commons.wikimedia.org/wiki/Special:FilePath/Alstom%20logo.svg,wikimedia,raw/alstom.svg,web/alstom.svg,web/alstom.png,web/alstom.webp,processed/mono-light/alstom-mono-light.svg,processed/mono-dark/alstom-mono-dark.svg,high,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Current post-2020 Alstom logo: navy wordmark ""ALSTOM"" (#1E3246) with the red abstract swirl emblem (#DC3223) replacing the ""O"". Confirmed via WebSearch as the present brand identity (deep blue + red swirl). This is the correct global Alstom SA brand that ab…",no,yes,yes
Vitesco Technologies,Vitesco Technologies Czech Republic s.r.o.,vitesco-technologies.com,https://commons.wikimedia.org/wiki/File:Vitesco_Technologies_logo.svg,wikimedia,raw/vitesco.svg,web/vitesco.svg,web/vitesco.png,web/vitesco.webp,processed/mono-light/vitesco-mono-light.svg,processed/mono-dark/vitesco-mono-dark.svg,medium,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Lowercase ""vitesco TECHNOLOGIES"" wordmark, official monochrome dark-gray (#4a4944) version, rendered as vector paths in a clean SVG (1024x378, viewBox present, transparent background). Matches the internal Sintera ground-truth reference exactly (same distin… | ZPRACOVÁNÍ: Zdrojové SVG je monochromní (tmavě šedá #4a4944); barevná varianta je na tmavém pozadí nevýrazná — pro strip používej mono-light",yes,yes,yes
Edwards,Edwards s.r.o. (Edwards Vacuum),edwardsvacuum.com,https://www.edwardsvacuum.com/etc.clientlibs/settings/wcm/designs/edwards/clientlib-preloaded/resources/img/svg/logo.svg,official_website,raw/edwards.svg,web/edwards.svg,web/edwards.png,web/edwards.webp,processed/mono-light/edwards-mono-light.svg,processed/mono-dark/edwards-mono-dark.svg,high,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Edwards VACUUM (vacuum pumps / abatement, Atlas Copco group) — NOT Edwards Lifesciences (medical). Logo is an exact match to the internal Sintera reference: red bold-italic ""EDWARDS"" wordmark, black arrow/swoosh inside the ""E"", and a red curved arc above. S… | ZPRACOVÁNÍ: Z oficiálního webu edwardsvacuum.com; odstraněn bílý podkladový obdélník z SVG. Edwards VACUUM (Atlas Copco), NE Edwards Lifesciences",no,yes,yes
Aisan Industry,Aisan Industry Czech s.r.o.,aisan-ind.co.jp,https://www.aisan-ind.co.jp/en/assets/images/logo.svg,official_website,raw/aisan.svg,web/aisan.svg,web/aisan.png,web/aisan.webp,processed/mono-light/aisan-mono-light.svg,processed/mono-dark/aisan-mono-dark.svg,high,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). Official Aisan corporate logo: red italic ""Aisan"" script, single path with fill=""#e60012"" (brand red), viewBox 0 0 200 37. Sourced directly from the parent company's official English site (aisan-ind.co.jp/en/, referenced in both header and footer as /en/ass… | ZPRACOVÁNÍ: Z oficiálního webu aisan-ind.co.jp; čistý wordmark „Aisan"". Entita Aisan Industry Czech s.r.o",no,yes,yes
LINET,LINET spol. s r.o.,linet.com,https://worldvectorlogo.com/logo/linet,other_public_source,raw/linet.jpg,web/linet.svg,web/linet.png,web/linet.webp,processed/mono-light/linet-mono-light.png,processed/mono-dark/linet-mono-dark.png,medium,public_reference_confirmed,"SOUHLAS: užití loga jako reference smluvně ošetřeno (rámcová smlouva SINTERA – „Zákazník souhlasí s umístěním svého loga jako referenčního zákazníka pro účely webové a tištěné prezentace“). UPGRADE web: LINET (CZ hospital beds, linet.com). SVG from worldvectorlogo: red #cc1d50 + grey #929496 - matches the internal ground-truth red/grey diamond mark + red LINET wordmark exactly. Official linet.com logos page exposed no public SVG/transparent download. Valid XML (192x192 viewBox, scales…",yes,yes,yes
